bucket,scientific_name,common_name,description
VeryRare,Dosinia discus,disk dosinia,disk dosinia: marine invertebrate found on coral reefs
VeryRare,Coralliophila violacea,purple coral snail,purple coral snail: marine invertebrate found on coral reefs
VeryRare,Thalamita prymna,Prymna,"Prymna: swimming crab with paddle-shaped rear legs, broad carapace"
VeryRare,Argopecten nucleus,Nucleus Scallop,Nucleus Scallop: marine invertebrate found on coral reefs
VeryRare,Conus marmoreus,Marbled cone,Marbled cone: marine invertebrate found on coral reefs
VeryRare,Monomia argentata,Argentata,"Argentata: swimming crab with paddle-shaped rear legs, broad carapace"
VeryRare,Chromodoris willani,Willani,"Willani: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Luria isabella,Isabell cowry,Isabell cowry: marine invertebrate found on coral reefs
VeryRare,Pedum spondyloideum,Spondyloideum,Spondyloideum: marine invertebrate found on coral reefs
VeryRare,Periglypta listeri,princess venus,princess venus: marine invertebrate found on coral reefs
VeryRare,Stramonita floridana,Florida Rocksnail,Florida Rocksnail: marine invertebrate found on coral reefs
VeryRare,Halgerda batangas,Batangas,Batangas: marine invertebrate found on coral reefs
VeryRare,Conus magus,magical cone,magical cone: marine invertebrate found on coral reefs
VeryRare,Acanthosepion pharaonis,Pharaoh cuttlefish,"Pharaoh cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
VeryRare,Thunnus obesus,Bigeye tuna,"Bigeye tuna: marine fish with typical reef fish body shape, scales, and fins"
VeryRare,Conus miles,soldier cone,soldier cone: marine invertebrate found on coral reefs
VeryRare,Lupocyclus rotundatus,rounded swimming crab,"rounded swimming crab: swimming crab with paddle-shaped rear legs, broad carapace"
VeryRare,Ascarosepion pfefferi,Flamboyant cuttlefish,"Flamboyant cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
VeryRare,Metapenaeopsis palmensis,southern velvet prawn,southern velvet prawn: marine invertebrate found on coral reefs
VeryRare,Conus eburneus,ivory cone,ivory cone: marine invertebrate found on coral reefs
VeryRare,Carolinapecten eboreus,Eboreus,Eboreus: marine invertebrate found on coral reefs
VeryRare,Goniobranchus hintuanensis,Hintuanensis,"Hintuanensis: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Acanthosepion smithi,Smith’s cuttlefish,"Smith’s cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
VeryRare,Euvola ziczac,Zigzag Scallop,Zigzag Scallop: marine invertebrate found on coral reefs
VeryRare,Megokris granulosus,coarse shrimp,coarse shrimp: marine invertebrate found on coral reefs
VeryRare,Ceratostoma rorifluum,Rorifluum,Rorifluum: marine invertebrate found on coral reefs
VeryRare,Leukoma jedoensis,Jedoensis,Jedoensis: marine invertebrate found on coral reefs
VeryRare,Antillipecten antillarum,Antillean Scallop,Antillean Scallop: marine invertebrate found on coral reefs
VeryRare,Sepioteuthis lessoniana,Lessoniana,"Lessoniana: torpedo-shaped squid with triangular fins, ten arms, large eyes"
VeryRare,Ylistrum balloti,Balloti,Balloti: marine invertebrate found on coral reefs
VeryRare,Saxidomus purpurata,Purpurata,Purpurata: marine invertebrate found on coral reefs
VeryRare,Vokesinotus perrugatus,Perrugatus,Perrugatus: marine invertebrate found on coral reefs
VeryRare,Anomalodiscus squamosus,Squamosus,Squamosus: marine invertebrate found on coral reefs
VeryRare,Acanthosepion ellipticum,Ovalbone cuttlefish,"Ovalbone cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
VeryRare,Hypselodoris festiva,Festiva,"Festiva: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Conasprella stearnsii,Stearnsii,Stearnsii: marine invertebrate found on coral reefs
VeryRare,Nembrotha chamberlaini,Chamberlaini,Chamberlaini: marine invertebrate found on coral reefs
VeryRare,Conus daucus,carrot cone,carrot cone: marine invertebrate found on coral reefs
VeryRare,Mexichromis multituberculata,Multituberculata,"Multituberculata: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Annachlamys flabellata,Flabellata,Flabellata: marine invertebrate found on coral reefs
VeryRare,Thalamita sima,Sima,"Sima: swimming crab with paddle-shaped rear legs, broad carapace"
VeryRare,Goniobranchus coi,Coi,"Coi: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Conus striatus,Striated cone,Striated cone: marine invertebrate found on coral reefs
VeryRare,Ceratosoma gracillimum,Gracillimum,"Gracillimum: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Gafrarium pectinatum,Pectinatum,Pectinatum: marine invertebrate found on coral reefs
VeryRare,Nautilus pompilius,pearly nautilus,"pearly nautilus: spiral chambered shell, many small tentacles, primitive appearance"
VeryRare,Acanthurus leucosternon,Powderblue surgeonfish,"Powderblue surgeonfish: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
VeryRare,Aplysia kurodai,Kurodai,Kurodai: marine invertebrate found on coral reefs
VeryRare,Amusium pleuronectes,Asian moon scallop,Asian moon scallop: marine invertebrate found on coral reefs
VeryRare,Canarium mutabile,Mutabile,Mutabile: marine invertebrate found on coral reefs
VeryRare,Phyllidia picta,black-rayed phyllidia,"black-rayed phyllidia: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
VeryRare,Eretmochelys imbricata,hawksbill turtle,"hawksbill turtle with amber tortoiseshell-patterned shell, pointed hawk-like beak, overlapping scutes"
VeryRare,Canarium urceus,little bear conch,little bear conch: marine invertebrate found on coral reefs
VeryRare,Spondylus squamosus,bearded thorny oyster,bearded thorny oyster: marine invertebrate found on coral reefs
VeryRare,Discodoris boholiensis,Boholiensis,Boholiensis: marine invertebrate found on coral reefs
VeryRare,Chromodoris quadricolor,striped pyjama nudibranch,"striped pyjama nudibranch: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Tambja morosa,Blue-spotted Wrinkle Dorid,Blue-spotted Wrinkle Dorid: marine invertebrate found on coral reefs
VeryRare,Doxander campbellii,Campbellii,Campbellii: marine invertebrate found on coral reefs
VeryRare,Phyllidiella nigra,Nigra,"Nigra: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
VeryRare,Plectorhinchus vittatus,Oriental sweetlips,"Oriental sweetlips: oval fish with thick lips, often silvery with stripes, named for grunting sounds"
VeryRare,Conus lividus,Livid cone,Livid cone: marine invertebrate found on coral reefs
VeryRare,Goniobranchus kuniei,Kuniei,"Kuniei: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Venerupis aspera,Aspera,Aspera: marine invertebrate found on coral reefs
VeryRare,Naria miliaris,millet cowrie,millet cowrie: marine invertebrate found on coral reefs
VeryRare,Conus musicus,music cone,music cone: marine invertebrate found on coral reefs
VeryRare,Dosinia japonica,Japonica,Japonica: marine invertebrate found on coral reefs
VeryRare,Canarium labiatum,Labiatum,Labiatum: marine invertebrate found on coral reefs
VeryRare,Gibberulus gibbosus,Gibbosus,Gibbosus: marine invertebrate found on coral reefs
VeryRare,Goniobranchus fidelis,Fiesta Rainbow Dorid,"Fiesta Rainbow Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Erronea cylindrica,Cylindrica,Cylindrica: marine invertebrate found on coral reefs
VeryRare,Chicoreus ramosus,giant murex,giant murex: marine invertebrate found on coral reefs
VeryRare,Gloripallium pallium,royal cloak scallop,royal cloak scallop: marine invertebrate found on coral reefs
VeryRare,Amphiprion nigripes,Maldive anemonefish,"Maldive anemonefish: small oval-shaped fish, often brightly colored, territorial behavior near coral"
VeryRare,Chromodoris alcalai,Alcalai,"Alcalai: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Hypselodoris roo,Roo,"Roo: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Mexichromis trilineata,Trilineata,"Trilineata: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Drupa ricinus,castor bean drupe,castor bean drupe: marine invertebrate found on coral reefs
VeryRare,Timoclea micra,Micra,Micra: marine invertebrate found on coral reefs
VeryRare,Palaemonella tenuipes,Tenuipes,"Tenuipes: translucent shrimp with long antennae, often with colored markings"
VeryRare,Conus capitaneus,captain cone,captain cone: marine invertebrate found on coral reefs
VeryRare,Conus rattus,rat cone,rat cone: marine invertebrate found on coral reefs
VeryRare,Conus miliaris,Miliaris,Miliaris: marine invertebrate found on coral reefs
VeryRare,Goniobranchus sinensis,Sinensis,"Sinensis: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Conus vexillum,flag cone,flag cone: marine invertebrate found on coral reefs
VeryRare,Palmadusta asellus,asellus cowrie,asellus cowrie: marine invertebrate found on coral reefs
VeryRare,Loliolus japonica,Japanese squid,"Japanese squid: torpedo-shaped squid with triangular fins, ten arms, large eyes"
VeryRare,Hypselodoris whitei,Bumpy Split-tooth Dorid,"Bumpy Split-tooth Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Ocinebrellus inornatus,Asian drill snail,Asian drill snail: marine invertebrate found on coral reefs
VeryRare,Pecten albicans,Japanese baking scallop,Japanese baking scallop: marine invertebrate found on coral reefs
VeryRare,Conus litteratus,Lettered cone,Lettered cone: marine invertebrate found on coral reefs
VeryRare,Antigona lamellaris,lamellate venus clam,lamellate venus clam: marine invertebrate found on coral reefs
VeryRare,Octopus conispadiceus,chestnut octopus,"chestnut octopus: eight arms with suckers, large intelligent eyes, highly textured skin that changes color"
VeryRare,Zanclus cornutus,Moorish idol,"Moorish idol: marine fish with typical reef fish body shape, scales, and fins"
VeryRare,Coralliophila radula,pear-shaped coralsnail,pear-shaped coralsnail: marine invertebrate found on coral reefs
VeryRare,Reishia bitubercularis,bituberculate rock shell,bituberculate rock shell: marine invertebrate found on coral reefs
VeryRare,Mizuhopecten yessoensis,Ezo giant scallop,Ezo giant scallop: marine invertebrate found on coral reefs
VeryRare,Mimachlamys gloriosa,Gloriosa,Gloriosa: marine invertebrate found on coral reefs
VeryRare,Uroteuthis chinensis,mitre squid,"mitre squid: torpedo-shaped squid with triangular fins, ten arms, large eyes"
VeryRare,Ceratosoma trilobatum,T-bar Pantechnicon Dorid,"T-bar Pantechnicon Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Balistapus undulatus,Striped Triggerfish,"Striped Triggerfish, Orange-lined triggerfish: oval-shaped fish with tough skin, small mouth with strong teeth, can lock dorsal spine"
VeryRare,Petricola japonica,Japonica,Japonica: marine invertebrate found on coral reefs
VeryRare,Staphylaea staphylaea,grape cowrie,grape cowrie: marine invertebrate found on coral reefs
VeryRare,Macridiscus aequilatera,Aequilatera,Aequilatera: marine invertebrate found on coral reefs
VeryRare,Jorunna rubescens,Turret Velvet Dorid,Turret Velvet Dorid: marine invertebrate found on coral reefs
VeryRare,Harpago chiragra,gouty spider conch,gouty spider conch: marine invertebrate found on coral reefs
VeryRare,Conus planorbis,Planorbis,Planorbis: marine invertebrate found on coral reefs
VeryRare,Erronea onyx,onyx cowrie,onyx cowrie: marine invertebrate found on coral reefs
VeryRare,Palaemonella pottsi,Pottsi,"Pottsi: translucent shrimp with long antennae, often with colored markings"
VeryRare,Caranx melampygus,Bluefin trevally,"Bluefin trevally: powerful silvery fish with forked tail, streamlined body, large eyes"
VeryRare,Amphioctopus marginatus,sand bird octopus,"sand bird octopus: eight arms with suckers, large intelligent eyes, highly textured skin that changes color"
VeryRare,Irus mitis,Mitis,Mitis: marine invertebrate found on coral reefs
VeryRare,Amphiprion clarkii,Clark's anemonefish,"Clark's anemonefish, Yellowtail clownfish: small oval-shaped fish, often brightly colored, territorial behavior near coral"
VeryRare,Dolomena dilatata,Dilatata,Dilatata: marine invertebrate found on coral reefs
VeryRare,Doxander vittatus,Vittatus,Vittatus: marine invertebrate found on coral reefs
VeryRare,Nembrotha milleri,Shadowy Wrinkle Dorid,Shadowy Wrinkle Dorid: marine invertebrate found on coral reefs
VeryRare,Balistoides viridescens,Titan triggerfish,"Titan triggerfish: oval-shaped fish with tough skin, small mouth with strong teeth, can lock dorsal spine"
VeryRare,Hypselodoris infucata,Black-spotted Split-tooth Dorid,"Black-spotted Split-tooth Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Mimachlamys sanguinea,noble scallop,noble scallop: marine invertebrate found on coral reefs
VeryRare,Conus virgo,virgin cone,virgin cone: marine invertebrate found on coral reefs
VeryRare,Drupella cornus,horn drupe,horn drupe: marine invertebrate found on coral reefs
VeryRare,Naso brevirostris,spotted unicornfish,"spotted unicornfish: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
VeryRare,Callista chinensis,Chinensis,Chinensis: marine invertebrate found on coral reefs
VeryRare,Chaetodon trifasciatus,Lineated Butterflyfish,"Lineated Butterflyfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
VeryRare,Ceratostoma burnettii,Burnett's murex,Burnett's murex: marine invertebrate found on coral reefs
VeryRare,Meretrix petechialis,Petechialis,Petechialis: marine invertebrate found on coral reefs
VeryRare,Ceratosoma tenue,Elongate Pantechnicon Dorid,"Elongate Pantechnicon Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Odonus niger,Redtooth Triggerfish,"Redtooth Triggerfish, Red-toothed triggerfish, Redtoothed triggerfish: oval-shaped fish with tough skin, small mouth with strong teeth, can lock dorsal spine"
VeryRare,Conus flavidus,Yellow Pacific cone,Yellow Pacific cone: marine invertebrate found on coral reefs
VeryRare,Naria helvola,honey cowrie,honey cowrie: marine invertebrate found on coral reefs
VeryRare,Cronia aurantiaca,Aurantiaca,Aurantiaca: marine invertebrate found on coral reefs
VeryRare,Chlorurus strongylocephalus,Steephead parrotfish,"Steephead parrotfish: robust colorful fish with fused beak-like teeth, often blue, green, or pink coloring"
VeryRare,Goniobranchus leopardus,Leopardus,"Leopardus: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Mauritia eglantina,dog-rose cowrie,dog-rose cowrie: marine invertebrate found on coral reefs
VeryRare,Halichoeres hortulanus,Checkerboard wrasse,"Checkerboard wrasse: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
VeryRare,Erronea subviridis,green-tinted cowrie,green-tinted cowrie: marine invertebrate found on coral reefs
VeryRare,Amphioctopus fangsiao,gold-spot octopus,"gold-spot octopus: eight arms with suckers, large intelligent eyes, highly textured skin that changes color"
VeryRare,Nebrius ferrugineus,Nurse Shark,"Nurse Shark, Tawny Nurse Shark: yellowish-brown shark with broad flat head, small eyes, barbels near nostrils"
VeryRare,Sepia whitleyana,Whitley's Cuttlefish,"Whitley's Cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
VeryRare,Thalamitoides spinigera,Spinigera,"Spinigera: swimming crab with paddle-shaped rear legs, broad carapace"
VeryRare,Hypselodoris apolegma,Apolegma,"Apolegma: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Laevistrombus canarium,dog conch,dog conch: marine invertebrate found on coral reefs
VeryRare,Hexabranchus lacer,Mottled Spanish Dancer,"Mottled Spanish Dancer: large red-orange nudibranch with ruffled body edges, six feathery gills"
VeryRare,Aetobatus ocellatus,Ocellated Eagle Ray,"Ocellated Eagle Ray, Sharpwing eagle ray: ray with broad triangular wings, pronounced head, long whip tail with spine"
VeryRare,Euprotomus aratrum,Aratrum,Aratrum: marine invertebrate found on coral reefs
VeryRare,Acanthurus lineatus,Striped Surgeonfish,"Striped Surgeonfish, Lined surgeonfish, Spoted box crab: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
VeryRare,Murex brevispina,short-spined murex,short-spined murex: marine invertebrate found on coral reefs
VeryRare,Hypselodoris paradisa,Paradisa,"Paradisa: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Meretrix lusoria,Asian hard clam,Asian hard clam: marine invertebrate found on coral reefs
VeryRare,Placamen retroversum,Retroversum,Retroversum: marine invertebrate found on coral reefs
VeryRare,Phyllidiella rudmani,Peaked Wart Slug,"Peaked Wart Slug: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
VeryRare,Scarus rubroviolaceus,Ember parrotfish,"Ember parrotfish: robust colorful fish with fused beak-like teeth, often blue, green, or pink coloring"
VeryRare,Murichorda fiscellum,Fiscellum,Fiscellum: marine invertebrate found on coral reefs
VeryRare,Hypselodoris emma,Triple-striped Split-tooth Dorid,"Triple-striped Split-tooth Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Acanthosepion esculentum,Golden cuttlefish,"Golden cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
VeryRare,Palmadusta artuffeli,Artuffeli,Artuffeli: marine invertebrate found on coral reefs
VeryRare,Dolabella auricularia,Anvil Sea Hare,Anvil Sea Hare: marine invertebrate found on coral reefs
VeryRare,Rhinecanthus aculeatus,White-banded triggerfish,"White-banded triggerfish: oval-shaped fish with tough skin, small mouth with strong teeth, can lock dorsal spine"
VeryRare,Cheilinus undulatus,Humphead wrasse,"Humphead wrasse: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
VeryRare,Thalassoma hardwicke,Sixbar wrasse,"Sixbar wrasse: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
VeryRare,Balistoides conspicillum,Clown triggerfish,"Clown triggerfish: oval-shaped fish with tough skin, small mouth with strong teeth, can lock dorsal spine"
VeryRare,Loliolus beka,Beka squid,"Beka squid: torpedo-shaped squid with triangular fins, ten arms, large eyes"
VeryRare,Hexabranchus sanguineus,Bloody Spanish Dancer,"Bloody Spanish Dancer: large red-orange nudibranch with ruffled body edges, six feathery gills"
VeryRare,Hemitaurichthys zoster,Brushtooth Butterflyfish,"Brushtooth Butterflyfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
VeryRare,Aplysia japonica,Japonica,Japonica: marine invertebrate found on coral reefs
VeryRare,Pomacanthus imperator,Emperor angelfish,"Emperor angelfish: laterally compressed fish with vivid colors, often with blue, yellow, or orange patterns, extended fins"
VeryRare,Nembrotha lineolata,Ivory Wrinkle Dorid,Ivory Wrinkle Dorid: marine invertebrate found on coral reefs
VeryRare,Tenguella marginalba,Marginalba,Marginalba: marine invertebrate found on coral reefs
VeryRare,Wunderpus photogenicus,Wunderpus,"Wunderpus: eight arms with suckers, large intelligent eyes, highly textured skin that changes color"
VeryRare,Lutjanus kasmira,Common bluestripe snapper,"Common bluestripe snapper: medium-sized fish with sloping head profile, often reddish or yellowish, forked tail"
VeryRare,Chicoreus cervicornis,deer-horn murex,deer-horn murex: marine invertebrate found on coral reefs
VeryRare,Erronea xanthodon,yellow-toothed cowrie,yellow-toothed cowrie: marine invertebrate found on coral reefs
VeryRare,Chaetodon falcula,saddled butterflyfish,"saddled butterflyfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
VeryRare,Carminodoris estrelyado,Estrelyado,Estrelyado: marine invertebrate found on coral reefs
VeryRare,Dosinia circularis,Circularis,Circularis: marine invertebrate found on coral reefs
VeryRare,Acanthurus triostegus,Convict surgeonfish,"Convict surgeonfish: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
VeryRare,Chaetodon xanthocephalus,Yellowhead Butterflyfish,"Yellowhead Butterflyfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
VeryRare,Grapsus tenuicrustatus,Natal lightfoot crab,Natal lightfoot crab: marine invertebrate found on coral reefs
VeryRare,Decatopecten radula,Radula,Radula: marine invertebrate found on coral reefs
VeryRare,Conomurex fasciatus,Fasciatus,Fasciatus: marine invertebrate found on coral reefs
VeryRare,Tenguella granulata,granular drupe,granular drupe: marine invertebrate found on coral reefs
VeryRare,Palmadusta clandestina,Cowrie,Cowrie: marine invertebrate found on coral reefs
VeryRare,Acanthurus nigricauda,Blackstreak Surgeonfish,"Blackstreak Surgeonfish, Epaulette surgeonfish: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
VeryRare,Coryphellina flamma,Stubby Triple-tooth,Stubby Triple-tooth: marine invertebrate found on coral reefs
VeryRare,Hemigymnus melapterus,Blackeye thicklip,"Blackeye thicklip: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
VeryRare,Lioconcha castrensis,camp pitar-venus,camp pitar-venus: marine invertebrate found on coral reefs
VeryRare,Conus spectrum,spectral cone,spectral cone: marine invertebrate found on coral reefs
VeryRare,Dascyllus abudafur,Abudafur,"Abudafur: small oval-shaped fish, often brightly colored, territorial behavior near coral"
VeryRare,Gafrarium dispar,Dispar,Dispar: marine invertebrate found on coral reefs
VeryRare,Roboastra gracilis,Graceful Wrinkle Dorid,Graceful Wrinkle Dorid: marine invertebrate found on coral reefs
VeryRare,Labroides dimidiatus,Bluestreak cleaner wrasse,"Bluestreak cleaner wrasse, Cleaner wrasse: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
VeryRare,Hapalochlaena lunulata,greater blue-ringed octopus,"small octopus with iridescent blue rings that flash bright when threatened, highly venomous"
VeryRare,Melichthys indicus,Indian triggerfish,"Indian triggerfish: oval-shaped fish with tough skin, small mouth with strong teeth, can lock dorsal spine"
VeryRare,Periglypta reticulata,reticulated venus,reticulated venus: marine invertebrate found on coral reefs
VeryRare,Mimachlamys punctata,Punctata,Punctata: marine invertebrate found on coral reefs
VeryRare,Chaetodon kleinii,Whitespotted Butterflyfish,"Whitespotted Butterflyfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
VeryRare,Phyllidiopsis shireenae,Crested Wart Slug,"Crested Wart Slug: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
VeryRare,Conus glans,Glans,Glans: marine invertebrate found on coral reefs
VeryRare,Sargocentron spiniferum,Sabre Squirrelfish,"Sabre Squirrelfish: marine fish with typical reef fish body shape, scales, and fins"
VeryRare,Timoclea marica,Marica,Marica: marine invertebrate found on coral reefs
VeryRare,Spondylus victoriae,Wright's thorny oyster,Wright's thorny oyster: marine invertebrate found on coral reefs
VeryRare,Cetoscarus ocellatus,Ocellated Parrotfish,"Ocellated Parrotfish: robust colorful fish with fused beak-like teeth, often blue, green, or pink coloring"
VeryRare,Phyllidiopsis krempfi,Krempfi,"Krempfi: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
VeryRare,Canthigaster valentini,Black-saddled Toby,"Black-saddled Toby, Valentin's sharpnose puffer: rounded fish that can inflate with water, beak-like fused teeth, often spotted"
VeryRare,Conus suturatus,Sutured Cone,Sutured Cone: marine invertebrate found on coral reefs
VeryRare,Gnathodentex aureolineatus,Goldlined Emperor,"Goldlined Emperor, Striped large-eye bream: marine fish with typical reef fish body shape, scales, and fins"
VeryRare,Heniochus pleurotaenia,Indian Ocean Bannerfish,"Indian Ocean Bannerfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
VeryRare,Chromodoris strigata,Broken-line Rainbow Dorid,"Broken-line Rainbow Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Chaetodon meyeri,Maypole Butterflyfish,"Maypole Butterflyfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
VeryRare,Platax teira,Longfin batfish,"Longfin batfish, Tiera batfish: tall disc-shaped fish with elongated dorsal and anal fins, often silvery with dark bands"
VeryRare,Ostracion cubicus,Yellow boxfish,"Yellow boxfish: marine fish with typical reef fish body shape, scales, and fins"
VeryRare,Glossodoris acosti,Acosti,"Acosti: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Nucleolaria nucleus,nucleus cowrie,nucleus cowrie: marine invertebrate found on coral reefs
VeryRare,Scolopsis bilineata,Two-lined monocle bream,"Two-lined monocle bream: marine fish with typical reef fish body shape, scales, and fins"
VeryRare,Lutjanus gibbus,Paddletail Snapper,"Paddletail Snapper, Humpback red snapper: medium-sized fish with sloping head profile, often reddish or yellowish, forked tail"
VeryRare,Conus biliosus,Biliosus,Biliosus: marine invertebrate found on coral reefs
VeryRare,Halichoeres scapularis,Zigzag wrasse,"Zigzag wrasse: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
VeryRare,Thalassoma amblycephalum,Rainbow Wrasse,"Rainbow Wrasse, Bluntheaded wrasse: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
VeryRare,Naso vlamingii,Vlaming's Unicornfish,"Vlaming's Unicornfish, Bignose unicornfish: oval compressed fish with small mouth, often blue or yellow, scalpel-like spine near tail"
VeryRare,Goniobranchus tumuliferus,Freckled Rainbow Dorid,"Freckled Rainbow Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Luniella spinipes,Spinipes,Spinipes: marine invertebrate found on coral reefs
VeryRare,Conus emaciatus,False Virgin Cone,False Virgin Cone: marine invertebrate found on coral reefs
VeryRare,Chaetodon collare,whitecollar butterflyfish,"whitecollar butterflyfish: disc-shaped fish with pointed snout, bold stripes or spots, often yellow and white coloring"
VeryRare,Dascyllus trimaculatus,Three-spot Dascyllus,"Three-spot Dascyllus, Threespot dascyllus: small oval-shaped fish, often brightly colored, territorial behavior near coral"
VeryRare,Globivenus toreuma,Toreuma,Toreuma: marine invertebrate found on coral reefs
VeryRare,Monotaxis grandoculis,Bigeye Emperor,"Bigeye Emperor, Humpnose big-eye bream: marine fish with typical reef fish body shape, scales, and fins"
VeryRare,Chicoreus microphyllus,Microphyllus,Microphyllus: marine invertebrate found on coral reefs
VeryRare,Scarus frenatus,Birdled parrotfish,"Birdled parrotfish, Bridled parrotfish: robust colorful fish with fused beak-like teeth, often blue, green, or pink coloring"
VeryRare,Phyllidiopsis annae,Annae,"Annae: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
VeryRare,Conus generalis,general cone,general cone: marine invertebrate found on coral reefs
VeryRare,Conus catus,Cat cone,Cat cone: marine invertebrate found on coral reefs
VeryRare,Gafrarium divaricatum,forked venus,forked venus: marine invertebrate found on coral reefs
VeryRare,Thalassoma lunare,Moon wrasse,"Moon wrasse: elongated colorful fish with thick lips, continuous dorsal fin, often with intricate patterns"
VeryRare,Epinephelus merra,Honeycomb Grouper,"Honeycomb Grouper: robust stocky fish with large mouth, mottled coloring, heavy body"
VeryRare,Hypselodoris pulchella,Dottyback Split-tooth Dorid,"Dottyback Split-tooth Dorid: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
VeryRare,Menathais tuberosa,humped rock shell,humped rock shell: marine invertebrate found on coral reefs
VeryRare,Pterois antennata,Spotfin Firefish,"Spotfin Firefish, Broadbarred firefish: heavily camouflaged fish with venomous spines, elaborate fin rays, mottled coloring"
VeryRare,Thecacera picta,Picta,Picta: marine invertebrate found on coral reefs
VeryRare,Phyllidiopsis xishaensis,Xishaensis,"Xishaensis: rounded nudibranch with tubercles on back, often black and pink or yellow patterns"
VeryRare,Cribrarula cribraria,sieve cowrie,sieve cowrie: marine invertebrate found on coral reefs
VeryRare,Lioconcha fastigiata,Clam,Clam: marine invertebrate found on coral reefs
VeryRare,Ascarosepion bandense,Stumpy cuttlefish,"Stumpy cuttlefish: cuttlefish with W-shaped pupils, undulating fin fringe, eight arms plus two tentacles"
VeryRare,Chromodoris dianae,Dianae,"Dianae: soft-bodied sea slug with vibrant colors, rhinophores on head, feathery gills on back"
